店,日付,時間,商品,細分類,数量,金額,半年後日付
B,20021204,103818,0000184,111113,5,271,20030306
B,20021204,103818,衣服,111113,5,271,20030306
B,20021204,103818,衣服,111113,5,271,20030306
C,20021204,103818,0000186,110143,1,459,20030306
C,20021204,103818,0000186,110143,1,459,20030306
C,20021204,103818,0000186,110143,1,459,20030306
C,20021204,103818,0000186,110143,1,459,20030306
A,20020816,,0000161,110407,,,20021116
D,20020816,123330,0000242,111605,1,292,20021116
B,,124440,,111501,1,125,
,,124440,0000365,111209,1,,
D,20020522,144621,0000184,140403,1,,20020822
C,20020522,144621,0000281,140797,1,,20020822
A,20021228,144621,0000395,140663,3,2,20030330
A,20020904,144621,0000179,140107,2,906,20021205
,,,,,,,
D,20020511,151657,0000452,130203,1000,700,20020811
A,20020602,151657,0000452,140681,1,344,20020902
C,20020110,152531,0000281,140105,1,384,20020412
B,20020110,094456,,126573,77,24500,20020412
A,20020926,111935,0000777,111113,,,20021227
D,200208,2359,0002358,16093,500,500,
D,200208,2359,0002358,16093,800,5500,
E,20020926,111935,0000777,111113,,,20021227
E,200204,2359,0002358,16093,,,
E,200204,2359,0002358,16093,,5,
