店,日付,時間,商品,細分類,数量,金額,新金額
B,20021204,103818,0000184,111113,5,271,-129
B,20021204,103818,衣服,111113,5,271,-129
B,20021204,103818,衣服,111113,5,271,-129
C,20021204,103818,0000186,110143,1,459,59
C,20021204,103818,0000186,110143,1,459,59
C,20021204,103818,0000186,110143,1,459,59
C,20021204,103818,0000186,110143,1,459,59
A,20020816,,0000161,110407,,,
D,20020816,123330,0000242,111605,1,292,-108
B,,124440,,111501,1,125,-275
,,124440,0000365,111209,1,,
D,20020522,144621,0000184,140403,1,,
C,20020522,144621,0000281,140797,1,,
A,20021228,144621,0000395,140663,3,2,-398
A,20020904,144621,0000179,140107,2,906,506
,,,,,,,
D,20020511,151657,0000452,130203,1000,700,300
A,20020602,151657,0000452,140681,1,344,-56
C,20020110,152531,0000281,140105,1,384,-16
B,20020110,094456,,126573,77,24500,24100
A,20020926,111935,0000777,111113,,,
D,200208,2359,0002358,16093,500,500,100
D,200208,2359,0002358,16093,800,5500,5100
E,20020926,111935,0000777,111113,,,
E,200204,2359,0002358,16093,,,
E,200204,2359,0002358,16093,,5,-395
