店,日付,時間,商品,細分類,数量,金額,数量巾乗
B,20021204,103818,0000184,111113,5,271,125
B,20021204,103818,衣服,111113,5,271,125
B,20021204,103818,衣服,111113,5,271,125
C,20021204,103818,0000186,110143,1,459,1
C,20021204,103818,0000186,110143,1,459,1
C,20021204,103818,0000186,110143,1,459,1
C,20021204,103818,0000186,110143,1,459,1
A,20020816,,0000161,110407,,,
D,20020816,123330,0000242,111605,1,292,1
B,,124440,,111501,1,125,1
,,124440,0000365,111209,1,,1
D,20020522,144621,0000184,140403,1,,1
C,20020522,144621,0000281,140797,1,,1
A,20021228,144621,0000395,140663,3,2,27
A,20020904,144621,0000179,140107,2,906,8
,,,,,,,
D,20020511,151657,0000452,130203,1000,700,1000000000
A,20020602,151657,0000452,140681,1,344,1
C,20020110,152531,0000281,140105,1,384,1
B,20020110,094456,,126573,77,24500,456533
A,20020926,111935,0000777,111113,,,
D,200208,2359,0002358,16093,500,500,125000000
D,200208,2359,0002358,16093,800,5500,512000000
E,20020926,111935,0000777,111113,,,
E,200204,2359,0002358,16093,,,
E,200204,2359,0002358,16093,,5,
