店,日付,時間,商品,細分類,数量,金額,乱数
B,20021204,103818,0000184,111113,5,271,87.85651766
B,20021204,103818,衣服,111113,5,271,106.158412
B,20021204,103818,衣服,111113,5,271,70.10441836
C,20021204,103818,0000186,110143,1,459,83.3374071
C,20021204,103818,0000186,110143,1,459,80.80464737
C,20021204,103818,0000186,110143,1,459,93.85975053
C,20021204,103818,0000186,110143,1,459,120.9750467
A,20020816,,0000161,110407,,,117.8796591
D,20020816,123330,0000242,111605,1,292,136.0234968
B,,124440,,111501,1,125,98.91371246
,,124440,0000365,111209,1,,82.96649227
D,20020522,144621,0000184,140403,1,,121.7024207
C,20020522,144621,0000281,140797,1,,121.2950382
A,20021228,144621,0000395,140663,3,2,88.11710119
A,20020904,144621,0000179,140107,2,906,112.2453349
,,,,,,,61.5638504
D,20020511,151657,0000452,130203,1000,700,145.6998424
A,20020602,151657,0000452,140681,1,344,75.89242373
C,20020110,152531,0000281,140105,1,384,125.5647163
B,20020110,094456,,126573,77,24500,98.47153894
A,20020926,111935,0000777,111113,,,76.90339606
D,200208,2359,0002358,16093,500,500,115.0853345
D,200208,2359,0002358,16093,800,5500,124.5246747
E,20020926,111935,0000777,111113,,,99.62774161
E,200204,2359,0002358,16093,,,66.80830728
E,200204,2359,0002358,16093,,5,83.85643564
