a%0,b%1,c,d
a,101030,x1,y1
a,101031,x1,y1
a,101032,x1,y1
a,101033,x1,y1
a,101034,x1,y1
a,101035,x1,y1
a,101036,x1,y1
a,101037,x1,y1
a,101038,x1,y1
a,101039,x1,y1
a,101040,x1,y1
a,101041,x1,y1
a,101042,x1,y1
a,101043,x1,y1
a,101044,x1,y1
a,101045,x1,y1
a,101046,x1,y1
a,101047,x1,y1
a,101048,x1,y1
a,101049,x1,y1
a,101050,x1,y1
a,101051,x1,y1
a,101052,x1,y1
a,101053,x1,y1
a,101054,x1,y1
a,101055,x1,y1
a,101056,x1,y1
a,101057,x1,y1
a,101058,x3,y3
a,1010xx55,x2,y2
a,101101,x3,y3
b,235950,x5,y5
b,235951,x5,y5
b,235952,x5,y5
b,235953,x5,y5
b,235954,x5,y5
b,235955,x5,y5
b,235956,x5,y5
b,235957,x5,y5
b,235958,x4,y4
