A,1,2,,,,,,13.83,1,13.83,1,,,,,
A,1,3,,,,,,28,-1,28,1,,,,,
A,2,3,,,,,,14.17,-1,14.17,1,,,,,
B,1,2,-0.4375,-0.875,-1,-1,-1,17.21460136,0.8913851302,23.75,1,,,,,
B,1,3,-5,-10,-1,-1,-1,28.3019434,-0.9967290481,39,1,,,,,
B,2,3,0.35,0.7,1,1,1,11.0879439,-0.8518399284,15.25,1,,,,,
A,1,2,-0.2625,-0.525,-1,-1,-1,33.63127265,0.8274757744,42.65,1,,,,,
A,1,3,-5.25,-10.5,-1,-1,-1,36.05551275,-0.9912279007,46,1,,,,,
A,2,3,0.0125,0.025,1,1,1,2.46221445,-0.894427191,3.35,1,,,,,
B,1,2,,,,,,12.67,1,12.67,1,,,,,
B,1,3,,,,,,15,-1,15,1,,,,,
B,2,3,,,,,,2.33,-1,2.33,1,,,,,
