顧客%0,日付%1,値,次日付1,次日付2,次日付3
,20081203,-2222,,,
,20081204,,20081203,,
,20081205,5555,20081204,20081203,
A,20081202,2345,,,
A,20111204,ああああ,20081202,,
A,20121209,"a a　ほへ<>""'(){~^=.:;}%|@_\#&",20111204,20081202,
A,20121213,1234,20121209,20111204,20081202
A,20131224,4567,20121213,20121209,20111204
B,,1.222222,,,
B,20081201,-12345,,,
B,20081205,222,20081201,,
B,20081206,1234,20081205,20081201,
B,20081207,5,20081206,20081205,20081201
魚,20130206,1,,,
魚,20130306,2,20130206,,
魚,20130406,,20130306,20130206,
魚,20130416,4,20130406,20130306,20130206
