顧客,日付%0,値,次日付1,次日付2,次日付3,次顧客1,次顧客2,次顧客3
,20081203,-2222,20081202,20081201,,A,B,B
,20081204,,20081203,20081202,20081201,,A,B
,20081205,5555,20081204,20081203,20081202,,,A
B,20081205,222,20081205,20081204,20081203,,,
B,20081206,1234,20081205,20081205,20081204,B,,
B,20081207,5,20081206,20081205,20081205,B,B,
A,20111204,ああああ,20081207,20081206,20081205,B,B,B
A,20121209,"a a　ほへ<>""'(){~^=.:;}%|@_\#&",20111204,20081207,20081206,A,B,B
A,20121213,1234,20121209,20111204,20081207,A,A,B
魚,20130206,1,20121213,20121209,20111204,A,A,A
魚,20130306,2,20130206,20121213,20121209,魚,A,A
魚,20130406,,20130306,20130206,20121213,魚,魚,A
魚,20130416,4,20130406,20130306,20130206,魚,魚,魚
A,20131224,4567,20130416,20130406,20130306,魚,魚,魚
